0,<class 'object'>
1,"Немцы так нехотя делают эти санкции, высылку дипломатов и прочее. Всё сугубо под давлением общественности. Это такая страна, что будет облизываться с Путиным даже если он восточную Европу захватит. Их просто исключат из НАТО и будут торговать газом дальше"
2,а в чём прикол дипломатов туда-сюда гонять ?
3,"Вообще, это все логично. Абсолютно ожидаемое поведение минобороны. Не можешь опровергнуть достоверность фотографий в Буче или не можешь доказать, что российские солдаты не убивали мирных граждан - запрети говорить вообще что либо под угрозой тюрьмы на 15 лет"
4,
5,"[id717273538|Matilda], детишками ты никого не изжалобишь, а если весь мир против России то я против этого мира, и так будет всегда, а ты продало свою страну и честь с совестью"
6,"Складывается ощущение, что за всё отвечает захарова."
7,Во они видомые там все
8,"«Никакое правительство в мире не смогло бы проводить политику массового истребления, не имея народа, который поддерживал бы правительство, и не имея много людей, которые были бы готовы участвовать в этих кровавых убийствах».

Эти слова были сказаны в адрес Юлиуса Штрейхера на Нюрнбергском трибунале. Он — единственный из нацистов, кого повесили не за реальные действия на фронте, а за пропаганду.

https://nuremberg.media/figuranty/20210701/202293/Shturmovik-s-khlystom.html"
9,kill Putin
10,
11,"[id621516624|Виктор], работа Миллера ещё не окончена..."
12,"[id621516624|Виктор], вся гейропа будет облизываться с тем кто сильнее и всегда будет стелиться под кого то"
13,"[id479149690|Ахмед], прямо как твоя мамка."
14,"[id621516624|Виктор], что ты несешь"
15,"[id717341571|Ольга], вообще было бы логично сначала читать пост, а уже потом пасту кидать."
16,"[id717341571|Ольга], сперму со рта смой маня"
17,"Дорогие друзья читатели, на ваших глазах происходит Первая Русско-Украинская ботоводная война. Лахта vs Киев? Чья фабрика ботов победит? Остановите войну, поберегите искусственный интеллект! Он нужен человечеству для другого!"
18,"[id504289202|Daniil], давно бы уже закрыли комменты, читать тошно, что одних, что вторых"
19,"[id504289202|Даниил], они все из одной Лахты"
20,"[id504289202|Даниил], Лахта vs Лахта"
21,"[id717273538|Matilda], бачу в вас є адекватні і не зазомбовані люди, які все розуміють"
22,"[id183555510|Денисъ], мория - росиянская псака.."
23,"А зачем вам права человека и демократическое управление, если у вас тоталитаризм."
24,
25,Опечатка? ВШЭ имеется ввиду?
26,Люди в Буче почувствовали права человека от российской власти….
27,"Зачем нам то, чего нет"
28,Тот момент когда знающий узбекский видит во всех этих картинках своих конкурентов со знанием английского и немецкого🤣
29,
30,Ну да ... какие права человека и демократическое управление ...
31,Поздравляю! Выкопали самое днище Марианской впадины! Русские не сдаются!
32,"И больше никто из айтишников сюда не вернётся. И скорей всего, во всем заграничном софте пропадут интерфейсы на русском языке и локальные настройки. Сейчас не 1996, русскофицировать ПО на коленке не получиться.Как вы относитесь к интерфейсу на иностранном языке в большинстве программ и операционных систем. муж говорит это катастрофище?"
33,"[id621516624|Виктор], работа Миллера ещё не окончена..."
34,"[id621516624|Виктор], вся гейропа будет облизываться с тем кто сильнее и всегда будет стелиться под кого то"
35,"[id479149690|Ахмед], прямо как твоя мамка."
36,"[id621516624|Виктор], что ты несешь"
37,"[id717341571|Ольга], вообще было бы логично сначала читать пост, а уже потом пасту кидать."
38,"[id717341571|Ольга], сперму со рта смой маня"
39,"Дорогие друзья читатели, на ваших глазах происходит Первая Русско-Украинская ботоводная война. Лахта vs Киев? Чья фабрика ботов победит? Остановите войну, поберегите искусственный интеллект! Он нужен человечеству для другого!"
40,"[id504289202|Daniil], давно бы уже закрыли комменты, читать тошно, что одних, что вторых"
41,"[id504289202|Даниил], они все из одной Лахты"
42,"[id504289202|Даниил], Лахта vs Лахта"
43,"[id717273538|Matilda], бачу в вас є адекватні і не зазомбовані люди, які все розуміють"
44,"[id183555510|Денисъ], мория - росиянская псака.."
45,"[id268927|Денис], авторитаризм, точнее"
46,"[id448805550|Дмитрий], по крайней мере, пока."
47,"[id268927|Денис], у нас ещё до ""Zпецоперации"" на права человека было насрать, а сейчас это приравняют к экстремизму"
48,"[id448805550|Дмитрий], авторитаризм был до 24 февраля, сейчас уже чисто тоталитарная картина"
49,"[id138918107|Дарья], нет, абсолютно. Определение тоталитаризма можно найти в сети. Авторитаризм похож, но всё-таки это разное."
50,"[id268927|Денис],"
51,"[id448805550|Дмитрий], ну да, погорячилась, хотя мы в шаге от этого"
52,"[id268927|Денис], а деспотизм!"
53,"[id717340918|Валерия], не понял, а то что пытаются созвать оон на встречу — какая-то шутка?"
54,"[id196360548|Александр], это называется лучшая защита нападение"
55,"[id38994263|Slavka], где вы видите нападение в желании созвать совет?"
56,"[id196360548|Александр], Его тогда надо созывать с темой ""о расследовании произошедшего"" А не как наши с подзаголовком ""вы всё врёте, нас подставили и вообще мы не нападали""."
57,"[id31154203|Лёха], факт остаётся фактом.
Вы недовольны заявлениями и отчетами МинОбороны, направленными на Российских граждан (последние выделил, так как все понимают, что Европа и Запад это не слушают и не воспринимают)
Вы недовольны заявлениями проваластных сми (также направленных на нас, но тут хотя бы ясно откуда недовольство)
И вы также остаётесь недовольными, когда Россия хочет что-то заявить уже напрямую на политической международной арене.
Что это, если не абсурд?
Я рассуждаю с точки зрения человека, который не верит никому и ТЕМ БОЛЕЕ — не знает правды, как и большая часть из здешних комментаторов, которые бросаются в огонь, цепляя первую же новость."
58,"[id716565173|Юлия], ты заслуживаешь горячего поцелуя!"
59,"[id716565173|Юлия], 👍"
60,"[id716565173|Юлия], Вы дебилка!!!!"
61,"[id714746438|Ilshat], БРАВО!!!"
62,"[id714157693|Олег], фамилия говорящая!"
63,"[id713323252|Анна], верно сказано,грузом 200"
64,"[id709080322|Машка], именно."
65,"[id713323252|Анна], да да ❤🤍русских"
66,"[id709080322|Машка], вам их не жаль?"
67,"[id715257381|Надежда], если такое будет, то катастрофа,  да. Ибо у нас очень мало людей даже базовый инглиш знает. Но вряд ли такое случится"
68,"[id715257381|Надежда], а чё админы удаляют мои коменты? Ссыте пидарюги🤣🤣🤣"
69,Ы
70,И правильно.
71,"Подозреваю, что там и доли Газпрома уже давно нет"
