	test
0	['норма']
1	['😁']
2	['воронка', 'цветок', 'вода', '💮']
3	['сша', 'фашизм']
4	['какой', 'злодей', 'целый', 'месяц', 'ждать']
5	['мир', 'узнать', 'правда', 'тайный', 'становиться', 'явный']
6	['почему', 'вата', 'верить', 'этот', 'хёрш', 'пророк']
7	['тот', 'это', 'это', 'цыган']
8	['инфоцыган']
9	['толк', '🤷', '\u200d', '♂', '️', 'кто', 'судить', 'чёрт', 'всё', 'бояться', '☝', '️']
10	['конечно', 'земной', 'грех', 'сша', 'виноватый', 'белые', 'пушистый']
11	['какой', 'разница', 'наш', 'газ', 'всё', 'равно', 'европа', 'покупать']
12	['молодец']
13	['улетать', 'девочка', 'юг', 'море', 'чайка', 'запах', 'жасмина', 'лайнер', 'нести', 'тёплый', 'берег', 'длинноногий', 'картина', 'ночь', 'вино', 'дым', 'кальян', 'танец', 'утро', 'море', 'дух', 'очень', 'пьяный', 'рассвет', 'помнить']
14	['молодец', 'девчонка', '👍', '👍', '👍', '🇷🇺🇷🇺🇷🇺', '💪', '💪', '💪', '🔥', '🔥', '🔥']
15	['согласный', 'красотка', '👍', '🇷🇺', '💪']
16	['укр', 'скулить', 'пж']
17	['это', 'вряд', 'быть']
18	['джанкой', 'оценить', 'бред', '😂']
19	['бывать']
20	['💩', 'страна', 'у', 'шизофрения', 'бред', 'величие', 'бред', 'величие', '–', 'это', 'патопсихологический', 'синдром', 'который', 'пациент', 'переоценивать', 'собственный', 'значимость', 'личностный', 'качество', 'способность', 'основный', 'проявление', '–', 'неадекватный', 'поведение', 'соответствовать', 'роль', 'известный', 'богатый', 'гениальный', 'экстраординарный', 'наделить', 'власть', 'человек', 'больной', 'высказывать', 'идея', 'собственный', 'всемогущество', 'высокий', 'предназначение', 'мнить', 'спаситель', 'душа', 'царь', 'бог']
21	['🦧', 'флаг', 'лгбт', 'ты', 'рука', 'барабан', 'ты', 'шея', 'ты', 'соль', 'двустволка']
22	['бред']
23	['не', 'думать', 'таий', 'хрупкий', 'девушка', 'эффективно', 'выполнять', 'работа', 'зона', 'сво']
24	['серьёзно', 'откроить', 'секрет', 'завод', 'крановщица', 'нажимать', 'кнопка', 'управлять', 'кран', '😜']
25	[]
26	['💩', 'страна']
27	['это', 'говорить', 'скоро', 'начать', 'мобилизация', 'женщина', 'особенно', 'тот', 'яростно', 'кричать', 'предстоящий', 'победа']
28	['хрупкий', 'да', 'килограмм', '😀', '😀', '😀']
29	['россия', 'восхищаться', 'наш', 'женщина', 'наш', 'поэт', '😉']
30	['где', 'видео', 'это', 'произойти', 'или', 'рапорт']
31	['бздить']
32	['делать', 'снимать']
33	['алень', 'ты', 'докладывать']
34	['служебный', 'пользование', 'ты', 'показать', 'иностранный', 'агент']
