	comment
0	['ледокол', '🤣']
1	['красавец', 'какой', 'удивительный', 'природа', '😊', 'столько', 'красота', 'вокруг', 'человек', 'готовый', 'всё', 'уничтожить', 'ради', 'забава']
2	['какой', 'это', 'человек', 'маленько', 'дотягивать']
3	['шикарный', '👍']
4	['краснокнижный']
5	['косоглазый', 'справа', 'конвергировать', 'страбизм']
6	['какой', 'красивый']
7	['красавец']
8	['каков', 'красавец', '😍']
9	['зачем', '❓', 'собраться', 'убивать', 'это', 'тот', 'стрелять', 'птица', 'читать', 'это', 'пост']
10	['красавчик']
11	['симпатяха']
12	['почему', 'такой', 'урод', 'садить']
13	['дбб', 'который', 'позвонить', 'если', 'слышать', 'уяснить', 'трогать', 'студент', 'школьник', 'другой', 'детский', 'учреждение', 'хороший', 'позвонить', 'ты', 'заняться', 'нечего']
14	['это', 'укр', 'вы', 'думать', 'послушать']
15	['всё', 'если', 'послушать', 'увидеть', 'почувствовать', 'глаз', 'выбить']
16	['пара', 'отменить']
17	['везти', 'а', 'смена', 'мы', 'отменять', 'хотя', 'выгнать']
18	['тобыть', 'пара', 'быть', 'я', 'видеть', 'весь', 'полиция', 'уехать', 'политех']
19	['радоваться']
20	['ну', 'красавчик', 'я', 'парковаться', 'нормальный', 'место', 'главное', 'никто', 'мешать']
21	['куча', 'этот', 'х', 'й', 'пока', 'растаять', 'лежать', '🤣']
22	['убрать', 'это', 'глыба', 'лёд', 'до', 'июнь', 'таять']
23	['двор', 'также', 'парковаться', '😂']
24	['бог', 'уборка', 'снег']
25	['кто', 'мешать', 'то', 'вылезти', 'заслуживать', 'уважение']
26	['ага', 'самый', 'сложный', 'вылезти', 'залезть', 'обратно', 'паджеро', 'сила']
27	['просто', 'психануть', '👍']
28	['покоритель', 'вершина', 'больший', 'малый']
29	['нормальный', 'парковка', 'нормальный', 'машина', 'не', 'тротуар', 'газон', 'проход', 'пузотёрка', 'завидовать', 'спокойно']
30	['ну', 'всё', 'фен', 'шуя']
31	['масло', 'двигатель', 'вытекать', '😉']
32	['двигатель', 'сказать', 'спасибо', 'холодный', 'пуск', '🤣', 'масло', 'наверняка', 'отлить', 'заборник', '🤦\u200d', '♂️']
33	['прикинуть', 'просто', 'скатиться', 'завести']
34	['возможно', 'я', 'истина', 'претендовать']
35	['и', 'он', 'нарушить', 'там', 'газон', 'пешеходка', 'какой', 'претензия', 'найти', 'свободный', 'парковочный', 'место', 'говориться', 'завидовать', 'молча']
36	['данный', 'случай', 'завидовать', 'пешеход', 'водитель', 'пузотёрка', 'который', 'мочь', 'парковаться', 'также']
37	['думать', 'выбирать', 'какой', 'машинка', 'покупать']
38	['думать', 'деньга', 'хватать', 'покупка']
39	['ну', 'брать', 'салон', 'таевать', 'наш', 'салон', 'писать', 'тот', 'ещё', 'фрукт']
40	['точно', 'газон']
41	['и', 'хотеть', 'парковаться', '🙏']
42	['удобно', 'наверно', 'вылазить']
43	['минприрода', 'против', 'природа', 'прелесть', 'хорошо', 'суд', 'запретить']
44	['деньга', 'природа', 'пахнуть']
45	['также', 'отменить', 'строительство', 'башня', 'место', 'речной', 'вокзал', 'также', 'строительство', 'многоэтажка', 'место', 'цум', 'застройка', 'сквер', 'около', 'пл', 'сахаров', 'поднять', 'резонанс', 'если', 'молчать', 'всё']
46	['позный', 'барнаул', 'продать']
47	['поздно', 'можно', 'осуществить', 'возврат', 'ещё', 'возврат', 'процент', 'кто', 'возникнуть', 'желание', 'торговать', 'земля', 'если', 'остановить', 'такой', 'товарищ', 'скоро', 'земля', 'враг', 'начать', 'продавать']
48	['пффффф', 'хорошо', 'начать', 'пить', 'кофе']
49	['это', 'очень', 'кофе', 'вредный']
50	['вроде', 'центр', 'жить', 'никак', 'увидеть', 'змеева', 'антоненко', 'плакат', 'шея', 'здание', 'городской', 'управа', 'я', 'тот', 'застройка', 'порядок', 'тот', 'паблик', 'такой', 'могучий', 'неравнодушный', 'спас', 'как', 'толк']
51	['рано', 'мы', 'ещё', 'плакатик', 'стоять', 'вы', 'просто', 'разбираться', 'наш', 'план', 'видимо', '😁']
52	['база', 'запретить', 'строить']
53	['кто', 'везти', 'ехать', 'нет', 'весь', 'собраться', 'сходить', 'прокуратура', 'решить', 'навсегда', 'вопрос', 'очистка', 'и', 'установить', 'графика']
54	['думать', 'прокуратура', 'знать', 'обращение', 'это', 'панацея']
55	['знать', 'прокуратура', 'обращение', 'день', 'почистить']
